ERTH	KY	4421	8.641	1.726	2.979	10.422	1.971	3.886
ERTH	ME	4	13.5	0.5	0.25	16.0	1.0	1.0
ERTH	VT	3	15.0	0.0	0.0	18.0	0.0	0.0
FGMS	CO	1176	7.104	1.494	2.232	8.297	1.726	2.979
FGMS	DE	129	7.822	1.449	2.1	8.884	1.503	2.258
FGMS	KS	551452	6.286	2.078	4.318	7.636	2.485	6.175
FGMS	MT	99	8.535	2.924	8.552	9.909	3.238	10.487
FGMS	NJ	1879	7.31	1.182	1.396	8.464	1.397	1.951
FGMS	WY	55	7.873	2.232	4.984	9.073	2.543	6.467
FISV	MO	2287	2.857	0.667	0.446	4.76	0.87	0.758
FISV	NE	74	4.027	0.162	0.026	6.027	0.162	0.026
GABG	LA	2262	6.726	0.865	0.748	7.728	0.904	0.818
GRPO	LA	6048	7.192	2.698	7.277	8.553	3.21	10.306
JENC	CA	1842	6.953	2.767	7.658	8.135	3.225	10.399
JMSI	IL	265378	7.662	1.991	3.966	8.861	2.29	5.244
JMSI	MN	98326	7.588	1.839	3.382	8.717	2.125	4.515
JMSI	ND	23817	8.301	2.639	6.962	9.439	3.135	9.829
JMSI	NY	217514	6.262	1.627	2.648	7.233	1.925	3.707
QUAD	OK	5	10.0	1.549	2.4	11.2	1.939	3.76
QUAD	TX	3119	7.388	1.439	2.071	8.427	1.575	2.479
VENT	MS	290	8.503	1.725	2.974	10.131	2.277	5.183
ASPN	NC	16148	8.678	1.984	3.937	10.489	2.397	5.744
BEST	CO	12749	6.534	1.191	1.418	7.539	1.234	1.523
BEST	DE	2919	6.668	0.478	0.229	7.668	0.478	0.229
BEST	KS	3003	7.228	2.026	4.106	8.333	2.289	5.24
BEST	MT	647	9.988	0.815	0.664	10.988	0.815	0.664
BEST	NJ	36099	6.551	0.806	0.65	7.535	0.914	0.835
BEST	WY	408	10.721	0.985	0.971	11.762	1.161	1.348
BINK	LA	19396	8.074	3.427	11.741	9.599	4.139	17.132
DATM	NC	577677	6.585	1.669	2.786	7.862	2.07	4.283
ERTH	CA	84595	9.243	0.858	0.737	10.885	1.144	1.308
ERTH	ID	14	13.714	0.881	0.776	16.429	1.294	1.673
ERTH	PR	3	13.333	0.471	0.222	15.667	0.943	0.889
FGMS	SC	570319	7.421	2.116	4.478	8.861	2.55	6.503
FGMS	TN	947343	6.317	2.123	4.505	7.573	2.583	6.673
FISV	IN	1721	7.05	2.186	4.78	9.793	2.685	7.211
